Date,Adj Close,Close,High,Low,Open,Volume
,GS,GS,GS,GS,GS,GS
2000-01-03,62.30278396606445,88.3125,94.375,87.75,94.1875,1822600
2000-01-04,58.378517150878906,82.75,87.5,82.25,87.0,1647700
2000-01-05,55.6447868347168,78.875,81.875,78.375,80.875,1516600
2000-01-06,58.02581024169922,82.25,84.5,78.625,78.625,1845100
2000-01-07,58.246246337890625,82.5625,83.1875,79.875,83.0625,1127400
2000-01-10,59.52492141723633,84.375,84.875,81.75,81.75,803100
2000-01-11,59.83356857299805,84.8125,86.25,84.5625,85.0,808600
2000-01-12,59.52492141723633,84.375,86.0,83.375,84.125,916100
2000-01-13,59.61314010620117,84.5,85.125,82.875,85.125,711000
2000-01-14,60.40677261352539,85.625,86.9375,85.3125,85.5,607000
2000-01-18,61.28864669799805,86.875,89.125,84.75,85.0,1095700
2000-01-19,61.77366638183594,87.5625,89.375,86.75,86.875,636900
2000-01-20,60.71043014526367,85.9375,87.9375,84.875,87.0,621800
2000-01-21,60.53386306762695,85.6875,86.1875,84.5625,86.1875,542500
2000-01-24,57.75217819213867,81.75,87.5,81.5,87.5,712900
2000-01-25,59.25340270996094,83.875,84.1875,82.375,83.0,749300
2000-01-26,62.3441047668457,88.25,88.5,84.125,84.125,1086600
2000-01-27,62.873931884765625,89.0,89.9375,87.625,88.25,702000
2000-01-28,61.461036682128906,87.0,88.0,86.125,87.5,776800
2000-01-31,64.72834777832031,91.625,91.6875,86.5,87.0,801800
2000-02-01,64.4634780883789,91.25,93.0,90.5,92.875,813100
2000-02-02,64.3751449584961,91.125,91.625,88.625,90.75,964700
2000-02-03,60.31306457519531,85.375,91.125,84.8125,90.0,2213300
2000-02-04,59.82738494873047,84.6875,87.25,83.5625,87.25,1451700
2000-02-07,60.57796096801758,85.75,86.5,83.5,84.4375,929800
2000-02-08,63.182987213134766,89.4375,89.625,85.75,85.75,1024800
2000-02-09,61.28445816040039,86.75,89.4375,86.5625,89.4375,397100
2000-02-10,61.19612121582031,86.625,87.3125,85.5,86.75,503200
2000-02-11,60.136451721191406,85.125,88.75,85.0,86.4375,856900
2000-02-14,61.10781478881836,86.5,86.875,84.625,85.125,627800
2000-02-15,61.10781478881836,86.5,86.625,85.125,86.25,542400
2000-02-16,58.591094970703125,82.9375,87.3125,82.875,86.75,720300
2000-02-17,58.01711654663086,82.125,84.75,81.125,84.75,895500
2000-02-18,57.08992004394531,80.8125,84.5,80.75,84.5,925500
2000-02-22,57.61974334716797,81.5625,82.375,80.6875,81.25,720100
2000-02-23,60.57796096801758,85.75,87.0,81.0625,81.3125,702900
2000-02-24,63.31547927856445,89.625,89.9375,85.5,85.8125,1199800
2000-02-25,63.050567626953125,89.25,94.0,88.25,89.4375,1333000
2000-02-28,62.1674919128418,88.0,89.25,87.0,89.25,518000
2000-02-29,65.34654235839844,92.5,92.5,88.0,88.75,1381200
2000-03-01,66.93607330322266,94.75,96.75,93.1875,93.25,1488900
2000-03-02,67.99573516845703,96.25,97.875,94.125,95.25,1819200
2000-03-03,72.41099548339844,102.5,102.5,96.75,97.0,2295900
2000-03-06,73.24991607666016,103.6875,105.25,102.375,102.75,1421000
2000-03-07,74.08882141113281,104.875,105.75,102.4375,103.9375,1041300
2000-03-08,71.88116455078125,101.75,105.375,99.6875,105.0,1041100
2000-03-09,75.72244262695312,107.1875,108.1875,101.25,101.75,535500
2000-03-10,79.29888916015625,112.25,119.0,108.5,109.75,2034400
2000-03-13,77.97428894042969,110.375,115.5,106.5,107.5,1454200
2000-03-14,74.00050354003906,104.75,112.875,103.5,111.5,653100
2000-03-15,73.16162872314453,103.5625,105.5,101.375,102.5,700300
2000-03-16,72.98500061035156,103.3125,105.0,99.25,103.875,2024800
2000-03-17,82.30126953125,116.5,117.375,103.25,104.125,2099400
2000-03-20,80.13777923583984,113.4375,123.0,112.5625,117.625,2254000
2000-03-21,83.5375747680664,118.25,119.8125,106.5,111.0,2692800
2000-03-22,82.76490020751953,117.15625,117.9375,114.8125,114.875,1258900
2000-03-23,84.06742095947266,119.0,119.0,115.125,116.5,1656900
2000-03-24,85.7010726928711,121.3125,128.0,117.6875,119.0,1934400
2000-03-27,79.12225341796875,112.0,119.375,111.75,118.25,1315000
2000-03-28,80.00533294677734,113.25,115.5,108.5,109.5,1649400
2000-03-29,80.66764831542969,114.1875,116.125,110.75,114.0,754300
2000-03-30,75.5017318725586,106.875,115.0,105.125,112.625,1241200
2000-03-31,74.353759765625,105.25,111.875,103.3125,108.0,1693300
2000-04-03,74.53034973144531,105.5,110.8125,105.5,108.75,1789500
2000-04-04,69.4085922241211,98.25,106.25,91.125,106.0,3739600
2000-04-05,68.83460235595703,97.4375,99.625,93.5,97.5,3238700
2000-04-06,74.883544921875,106.0,106.0,100.0,101.0,1675700
2000-04-07,72.41099548339844,102.5,107.25,101.1875,106.25,1373500
2000-04-10,75.63417053222656,107.0625,109.125,103.5625,104.0,1749900
2000-04-11,74.04466247558594,104.8125,108.3125,104.3125,107.125,1147200
2000-04-12,68.21643829345703,96.5625,107.25,96.5,106.5,2598500
2000-04-13,67.28925323486328,95.25,98.125,92.3125,96.75,3377700
2000-04-14,58.4586181640625,82.75,92.75,79.4375,92.75,4855800
2000-04-17,61.81427001953125,87.5,87.75,81.0,81.75,3489600
2000-04-18,66.22960662841797,93.75,94.9375,86.875,87.5,2191500
2000-04-19,65.12078094482422,92.0625,93.5,89.625,93.4375,1390200
2000-04-20,62.82191848754883,88.8125,91.8125,88.0,91.8125,1061100
2000-04-24,61.45140838623047,86.875,91.5,84.625,88.8125,1764300
